engine,value_size,threads,ops,prefill_tput,decode_tput,timestamp
mooncake,524288,2,3000,1.96851,4.09172,2025-03-19T07:12:01.099137
mooncake,524288,4,3000,3.14465,5.06306,2025-03-19T07:12:22.862582
mooncake,524288,8,3000,3.96073,7.04826,2025-03-19T07:12:44.559313
mooncake,1048576,2,3000,2.54781,2.78577,2025-03-19T07:13:07.215294
mooncake,1048576,4,3000,3.7212,5.49833,2025-03-19T07:13:28.809024
mooncake,1048576,8,3000,6.48088,8.37232,2025-03-19T07:13:51.037703
mooncake,8388608,2,3000,3.17313,3.26185,2025-03-19T07:14:20.256796
mooncake,8388608,4,3000,4.89459,5.39094,2025-03-19T07:14:46.493838
mooncake,8388608,8,3000,6.89197,7.17641,2025-03-19T07:15:11.356914
mooncake,16777200,2,3000,3.2656,2.79409,2025-03-19T07:18:42.029578
mooncake,16777200,4,3000,5.19382,5.05415,2025-03-19T07:19:14.170771
mooncake,16777200,8,3000,6.52303,6.31116,2025-03-19T07:19:44.917812
redis,524288,2,3000,0.952755,1.45052,2025-03-19T07:23:23.856679
redis,524288,4,3000,1.49984,1.73677,2025-03-19T07:23:36.159867
redis,524288,8,3000,1.49262,1.69419,2025-03-19T07:23:46.967955
redis,1048576,2,3000,0.601532,0.780042,2025-03-19T07:24:01.379208
redis,1048576,4,3000,1.03734,1.07462,2025-03-19T07:24:14.738803
redis,1048576,8,3000,1.35578,1.15671,2025-03-19T07:24:28.152222
